Id,District Name,Neighborhood Name,Street,Year,Month,Weekday,Part of the day
2017S001669    ,Ciutat Vella,el Barri Gòtic,PG COLOM                                          ,2017,March,Wednesday,Morning
2017S001670    ,Sant Martí,Sant Martí de Provençals,GV CORTS CATALANES                                ,2017,March,Wednesday,Morning
2017S001678    ,Sant Martí,el Poblenou,RDA LITORAL(LLOBRE                                ,2017,March,Wednesday,Morning
2017S001672    ,Eixample,la Sagrada Família,LEPANT / Còrsega                                  ,2017,March,Wednesday,Morning
2017S001674    ,Sant Martí,el Parc i la Llacuna del Poblenou,ALMOGÀVERS / Pamplona                             ,2017,March,Wednesday,Morning
2017S001675    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,VENTALLÓ / Romans                                 ,2017,March,Wednesday,Morning
2017S001676    ,Sant Martí,el Poblenou,PG CALVELL                                        ,2017,March,Wednesday,Morning
2017S001673    ,Sant Martí,el Poblenou,CTRA B-10 (LLOBRE)                                ,2017,March,Wednesday,Morning
2017S001677    ,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,PG BONANOVA                                       ,2017,March,Wednesday,Morning
2017S001679    ,Les Corts,Pedralbes,BOSCH I GIMPERA / Cavallers                       ,2017,March,Wednesday,Morning
2017S001680    ,Sants-Montjuïc,la Marina de Port,ALUMINI                                           ,2017,March,Wednesday,Morning
2017S001682    ,Les Corts,les Corts,AV DIAGONAL / Numància                            ,2017,March,Wednesday,Morning
2017S001684    ,Sarrià-Sant Gervasi,el Putxet i el Farró,GANDUXER                                          ,2017,March,Wednesday,Morning
2017S001686    ,Eixample,l'Antiga Esquerra de l'Eixample,PROVENÇA / Aribau                                 ,2017,March,Wednesday,Morning
2017S001681    ,Sarrià-Sant Gervasi,el Putxet i el Farró,RDA GENERAL MITRE / Berna                         ,2017,March,Wednesday,Morning
2017S001683    ,Sarrià-Sant Gervasi,Sarrià,RDA GENERAL MITRE / Atenes                        ,2017,March,Wednesday,Morning
2017S001685    ,Sarrià-Sant Gervasi,el Putxet i el Farró,BALMES                                            ,2017,March,Wednesday,Morning
2017S001687    ,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES                                ,2017,March,Wednesday,Afternoon
2017S001692    ,Les Corts,Pedralbes,RDA DALT (BESÒS)                                  ,2017,March,Wednesday,Afternoon
2017S001689    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,SANT ELIES / Alfons XII                           ,2017,March,Wednesday,Afternoon
2017S001694    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ARIBAU / Av Diagonal                              ,2017,March,Wednesday,Afternoon
2017S001693    ,Sant Martí,el Clot,GV CORTS CATALANES / Pl Glòries Catalan           ,2017,March,Wednesday,Afternoon
2017S001690    ,Sant Martí,Provençals del Poblenou,BAC DE RODA                                       ,2017,March,Wednesday,Afternoon
2017S001691    ,Sarrià-Sant Gervasi,Sarrià,RDA DALT (BESÒS)                                  ,2017,March,Wednesday,Afternoon
2017S001700    ,Eixample,la Dreta de l'Eixample,VALÈNCIA / Pg Sant Joan                           ,2017,March,Wednesday,Afternoon
