Date,Year,Post ID,Platform,Post Type,Content Type,Link,Post,Engagement Rate,Engagements,Reactions,Comments,Shares
2022-04-02,2022,1.51039E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510394148377014279,".@billieeilish's future? A performance at the #GRAMMYs!

Drop a ❤️ if you’ll be tuning in. April 3rd on @CBS. https://t.co/9uUgRFvaEa https://t.co/u9llH1KTgk",,10242.0,4126.0,80.0,387.0
2022-04-03,2022,36736245747_10158962022925748,Facebook,Post,Video,https://www.facebook.com/36736245747/posts/10158962022925748/,"We didn’t come to Vegas to gamble, but we definitely hit the jackpot with this #GRAMMYs opening performance 🎰 Silk Sonic",0.0725,4169.0,1164.0,62.0,170.0
2022-04-03,2022,1.51079E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510786483631714304,Are you as surprised as we are? We need a @DuaLipa x @theestallion x #DonatellaVersace collab ASAP. #GRAMMYs,,1672.0,580.0,9.0,53.0
2022-04-03,2022,1.51084E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510839449290264577,👏 @JonBatiste's 'WE ARE' wins the GRAMMY for Album Of The Year at the 2022 #GRAMMYs. https://t.co/gD7P5Z1HRp,,13610.0,1381.0,110.0,213.0
2022-04-03,2022,1.51074E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510738162036969472,".@Arooj_Aftab's ""Mohabbat"" wins Best Global Music Performance at the 2022 #GRAMMYs. 

Aftab is the first Pakistani woman to win a GRAMMY and is also nominated for Best New Artist. 👏 https://t.co/kpqljYmSdy",,2653.0,493.0,40.0,142.0
2022-04-03,2022,1.51078E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510775909015441415,BTS is side stepping right into our hearts  💛 Hope the #BTSArmy is ready to accept new members! #GRAMMYs,,13658.0,6549.0,107.0,1279.0
2022-04-03,2022,1.51077E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510771974171029505,"We are NOT okay after seeing Olivia on the #GRAMMYs stage. #Livies, how you doing? 💜",,6109.0,1651.0,73.0,161.0
2022-04-03,2022,1.79548E+16,Instagram,Reel,Video,https://www.instagram.com/reel/Cb5fHI6Jig0/,"Music’s Biggest Night is here. ✨

This year’s Album of the Year nominees:
@billieeilish 
@dojacat 
@hermusicofficial 
@jonbatiste 
@justinbieber 
@lilnasx 
@oliviarodrigo 
@itstonybennett & @ladygaga 
@taylorswift 
@kanyewest 

Watch it on @cbstv 🎶 #GRAMMYs",0.1038,48135.0,43327.0,1155.0,2184.0
2022-04-03,2022,1.79362E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb6V0d8l29G/,"Prometemos nunca perderte de vista, @mariabecerra, de tu clase pocas hay. ❤️ #GRAMMYs",0.0782,47952.0,45239.0,986.0,
2022-04-03,2022,1.51083E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510827568425062401,Take a moment to reflect and salute the members of the music community who we lost. https://t.co/p5XCzhN5E1,,2644.0,448.0,95.0,57.0
2022-04-03,2022,1.51077E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510770159127998467,"We didn’t come to Vegas to gamble, but we definitely hit the jackpot with this #GRAMMYs opening performance 🎰

 Let’s gooooo, @silksonic! ✨",,2644.0,965.0,19.0,118.0
2022-04-03,2022,1.51082E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510819124221341700,It’s the way @carrieunderwood lifts the #GRAMMYs up for us.,,4268.0,951.0,146.0,115.0
2022-04-03,2022,1.5108E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510803200286240774,"Congrats Best R&amp;B Album winner - 'Heaux Tales' @jsullivanmusic 💚 #GRAMMYs

https://t.co/0D6iC8OYJM https://t.co/gospVmC9dC",,46803.0,18957.0,122.0,4516.0
2022-04-03,2022,36736245747_10158961167875748,Facebook,Post,Photo,https://www.facebook.com/36736245747/posts/10158961167875748/,"Presenting at the #GRAMMYs tonight: Megan Thee Stallion, Joni Mitchell, Questlove, Lenny Kravitz, Dua Lipa, Ludacris, Billy Porter, Bonnie Raitt, Keith Urban, Kelsea Ballerini, Avril Lavigne, Jared Leto, MJ Rodriguez and Anthony Mackie.

Tune in to Music's Biggest Night on CBS ✨

📲 https://grm.my/3K4Wb7C",0.0609,8102.0,1310.0,82.0,138.0
2022-04-03,2022,1.79547E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb6QU0hp50s/,That’s Song Of The Year GRAMMY winner to you. 👀 #GRAMMYs,0.0941,46515.0,45004.0,231.0,
2022-04-03,2022,1.51074E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510742396807507968,"Congrats Best Orchestral Performance winner - 
'Price: Symphonies NOS. 1 &amp;3' @philorch 

WATCH NOW 🎶 https://t.co/iZP2mSPJkJ #GRAMMYPremiere #GRAMMYs",,1338.0,255.0,11.0,54.0
2022-04-03,2022,1.51073E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510726414391132168,"And the GRAMMY for Best Dance/Electronic Recording goes to - ""Alive"" @RufusDuSol 

WATCH NOW 🎶 https://t.co/KUKFmLwcA8 #GRAMMYPremiere #GRAMMYs https://t.co/3p0WfPwxKI",,6164.0,942.0,15.0,183.0
2022-04-03,2022,1.79688E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb6M3FlJyML/,"A host so nice we brought him to the #GRAMMYs twice. 🎙

Who’s watching on @cbstv?",0.0377,13880.0,13525.0,134.0,
2022-04-03,2022,1.5108E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510804710541783042,".@LadyGaga’s jazz band and orchestra has our entire hearts. 

All of them. 

#GRAMMYs https://t.co/zP9vYdFJF2",,13887.0,5754.0,59.0,882.0
2022-04-03,2022,1.78648E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb5_9t6BK1M/,"Meanwhile at the #GRAMMYPremiere Ceremony, @curtis.stewart_violin is making his way into our hearts. 🎻🖤",0.0197,8038.0,7892.0,37.0,
2022-04-03,2022,1.51075E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510750131317997570,"Congrats Best R&amp;B Song winner - ""Leave The Door Open"" Brandon Anderson, Christopher Brody Brown, Dernst Emile II &amp; @BrunoMars, songwriters (@SilkSonic) 

WATCH NOW 🎶 https://t.co/iZP2mSPJkJ #GRAMMYPremiere #GRAMMYs",,7990.0,2597.0,32.0,722.0
2022-04-03,2022,1.51079E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510788448831119361,✨ @silksonic and @jsullivanmusic tied for Best R&amp;B Performance at the 2022 #GRAMMYs. https://t.co/pnoejEpqQC,,4226.0,819.0,12.0,133.0
2022-04-03,2022,1.51074E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510743442405543937,"Congrats Best Best Opera Recording winner - 'Glass: Akhnaten' The Metropolitan Opera Orchestra &amp; The Metropolitan Opera Chorus

WATCH NOW 🎶: https://t.co/iZP2mSPJkJ #GRAMMYPremiere #GRAMMYs https://t.co/Ccgu6J4ezX",,2632.0,508.0,13.0,95.0
2022-04-03,2022,1.51079E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510786573343678466,When worlds collide 🎵👗 Living for these three icons together on one stage @dualipa @theestallion #DonatellaVersace #GRAMMYs,,1321.0,473.0,6.0,44.0
2022-04-03,2022,1.79715E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb6JHPbPlPc/,"How we feeling? 👍 

GRAMMY presenter @jaredleto is making his way down the #GRAMMYs red carpet.",0.0395,13478.0,13072.0,78.0,
2022-04-03,2022,36736245747_10158961581685748,Facebook,Post,Video,https://www.facebook.com/36736245747/posts/10158961581685748/,"From the Oscars to the #GRAMMYs... Questlove and ""Summer Of Summer"" are on a roll. Congrats on the win! 🙌

Watch the #GRAMMYPremiere Ceremony now: https://grm.my/3x5Pvm9.",0.0345,1991.0,714.0,32.0,103.0
2022-04-03,2022,1.78489E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb57VnZhJLE/,We’re living on Planet Her. 🪐 #GRAMMYs,0.1315,57461.0,55443.0,381.0,
2022-04-03,2022,1.79161E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb59Ee3hDrU/,"We are here for this. 🔥 The party can get started now that Shaggy, Spice, and Sean Paul have arrived to the #GRAMMYs.",0.031,13060.0,12375.0,466.0,
2022-04-03,2022,1.82855E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb6ayjBlLKq/,It’s @jonbatiste’s show now. Did everyone just see that? 👀🎵 #GRAMMYs,0.0303,13048.0,12647.0,180.0,
2022-04-03,2022,1.51066E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510663673530011654,It's going to be a special day! Watch @RachelZegler make her #GRAMMYs stage debut on @CBS! ✨ https://t.co/wRAzqd7HCX https://t.co/LXzkS6bjna,,4083.0,1249.0,15.0,107.0
2022-04-03,2022,1.51073E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510733385693495296,"Congrats Best Music Film winner - 'Summer Of Soul' @questlove 

WATCH NOW 🎶 https://t.co/KUKFmLwcA8 #GRAMMYPremiere #GRAMMYs https://t.co/LV1x9B7eip",,12974.0,3173.0,42.0,676.0
2022-04-03,2022,1.51073E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510732288564232194,"Congrats Best Music Video winner - ""Freedom"" - @JonBatiste 

WATCH NOW 🎶 https://t.co/iZP2mSPJkJ #GRAMMYPremiere #GRAMMYs https://t.co/aj9bERK5HI",,8417.0,1425.0,80.0,200.0
2022-04-03,2022,1.79373E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb6CnuUheuE/,The woman on the right is all of us watching @iamyolaofficial walk out onto the #GRAMMYs red carpet. 💜,0.0311,13117.0,12803.0,107.0,
2022-04-03,2022,1.51078E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510776479268831243,We're here for this moment with @oliviarodrigo! 💜#BTSARMY #GRAMMYs,,12907.0,5057.0,61.0,769.0
2022-04-03,2022,1.51079E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510793843691597824,"Congrats Best Rap Performance winner - ""Family Ties"" @babykeem ft. @kendricklamar #GRAMMYs 

https://t.co/0D6iC8OYJM https://t.co/9M8RpeRrR4",,59789.0,21286.0,142.0,2721.0
2022-04-03,2022,1.51074E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510743901707022336,"Congrats Best Chamber Music/Small Ensemble Performance winner - ""Beethoven: Cello Sonatas - Hope Amid Tears"""" @YoYo_Ma &amp; @EmanuelAx 

WATCH NOW 🎶 https://t.co/iZP2mSPJkJ #GRAMMYPremiere #GRAMMYs",,1702.0,314.0,6.0,58.0
2022-04-03,2022,1.51072E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510722561641889792,"Congrats Best Folk Album winner - 'They're Calling Me Home' @RhiannonGiddens with @fraturrisi 

WATCH NOW 🎶https://t.co/iZP2mSPJkJ #GRAMMYPremiere #GRAMMYs",,2724.0,617.0,15.0,105.0
2022-04-03,2022,1.51077E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510772135437893633,"Latino gang, wya? Estamos listos para @JBALVIN y #MariaBecerra 🎉 #GRAMMYs",,1704.0,395.0,12.0,54.0
2022-04-03,2022,1.51077E+18,Twitter,Tweet,Text,https://twitter.com/RecordingAcad/status/1510771183842562050,We're already crying and @oliviarodrigo's performance just started. 🥲✨,,4026.0,1511.0,25.0,180.0
2022-04-03,2022,1.7959E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb6W8N2lOuI/,"Oh, to have a seat at this table. We’re not jealous or anything. #GRAMMYs",0.1017,61113.0,58188.0,192.0,
